data;Ct  E gene;log 10 viral RNA copies/ul
24/11/2020;32.86;5.14358166
09/02/2021;31.91;5.360610422
23/02/2021;31.83;5.378886528
09/03/2021;31.77;5.392593608
22/03/2021;33.13;5.081899801
06/04/2021;35.68;4.499348914
22/04/2021;34.68;4.727800242
06/05/2021;37.3318;4.121993009
26/05/2021;35.975;4.431955772
10/06/2021;36.29;4.359993603
29/06/2021;37.18;4.156671921
20/07/2021;36.195;4.38169648
07/09/2021;35.685;4.498206657
24/09/2021;35.592;4.519452631
18/11/2021;35.357;4.573138693
06/12/2021;35.147;4.621113472
21/12/2021;31.863;5.371347634
11/01/2022;30.213;5.748292326
10/02/2022;32.43;5.241815731
22/02/2022;32.19;5.29664405
08/03/2022;33.45;5.008795376
22/03/2022;32.11;5.314920156
05/04/2022;31.48;5.458844493
21/04/2022;31.66;5.417723254
03/05/2022;35.275;4.591871702
17/05/2022;32.098;5.317661572
07/06/2022;33.403;5.019532589
14/06/2022;32.224;5.288876705
28/06/2022;30.089;5.776620291
12/07/2022;31.887;5.365864803
28/07/2022;29.36;5.943161309
30/08/2022;43.45;2.724282092
06/09/2022;39.04;3.73175245
21/09/2022;31.145;5.535375688
12/10/2022;29.98;5.801521486
26/10/2022;31.195;5.523953122
09/11/2022;30.88;5.59591529
22/11/2022;33.075;5.094464624
